DOM Element Count,Legislation Section URL,Chapter,Part,Divison,Subdivision
1,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157834,Chapter 1 Preliminary,,,
2,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157835,Chapter 1 Preliminary,Part 1 Preliminary,,
3,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157836,Chapter 1 Preliminary,Part 1 Preliminary,,1 1  Name
4,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157837,Chapter 1 Preliminary,Part 1 Preliminary,,1 3  Authority
5,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157838,Chapter 1 Preliminary,Part 1 Preliminary,,1 4  Application of this instrument
6,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157839,Chapter 1 Preliminary,Part 1 Preliminary,,1 5  Simplified outline of this instrument
7,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157840,Chapter 1 Preliminary,Part 2 Interpretation,,
8,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157841,Chapter 1 Preliminary,Part 2 Interpretation,,1 6  Definitions
9,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157842,Chapter 2 Exporting goods,Part 2 Interpretation,,
10,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157843,Chapter 2 Exporting goods,Part 1 Goods,,
11,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157844,Chapter 2 Exporting goods,Part 1 Goods,Division 1 Prescribed goods,
12,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157845,Chapter 2 Exporting goods,Part 1 Goods,Division 1 Prescribed goods,2 1  Livestock other live animals and animal reproductive material that are prescribed goods
13,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157846,Chapter 2 Exporting goods,Part 1 Goods,Division 2 Prohibited export and prescribed export conditions,
14,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157847,Chapter 2 Exporting goods,Part 1 Goods,Division 2 Prohibited export and prescribed export conditions,2 2  Purpose and application of this Division
15,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157848,Chapter 2 Exporting goods,Part 1 Goods,Division 2 Prohibited export and prescribed export conditions,2 3  Export of prescribed livestock is prohibited unless prescribed conditions are complied with
16,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157849,Chapter 2 Exporting goods,Part 1 Goods,Division 2 Prohibited export and prescribed export conditions,2 4  Export of prescribed live animals is prohibited unless prescribed conditions are complied with
17,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157850,Chapter 2 Exporting goods,Part 1 Goods,Division 2 Prohibited export and prescribed export conditions,2 5  Export of prescribed animal reproductive material is prohibited unless prescribed conditions are complied with
18,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157851,Chapter 2 Exporting goods,Part 2 Exemptions,Division 2 Prohibited export and prescribed export conditions,
19,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157852,Chapter 2 Exporting goods,Part 2 Exemptions,Division 2 Prohibited export and prescribed export conditions,2 6  Application of this Part
20,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157853,Chapter 2 Exporting goods,Part 2 Exemptions,Division 2 Prohibited export and prescribed export conditions,2 7  Exports of small numbers of animals in infrequent consignments
