Meta Key,Meta Value
viewport,"width=device-width, initial-scale=1"
dcterms.title,Export Control (Animals) Rules 2021
dcterms.identifier,https://www.legislation.gov.au/F2021L00319/latest
dcterms.creator,"scheme=AGLSTERMS.AglsAgent; corporateName=Agriculture, Fisheries and Forestry"
dcterms.publisher,scheme=AGLSTERMS.AglsAgent; corporateName=Office Parliamentary Counsel; address=Locked Bag 30 Kingston ACT 2604; contact=+61 2 6120 1400
dcterms.description,Export Control (Animals) Rules 2021
dcterms.date,scheme=dcterms.ISO8601; 2024-04-30T00:00:00.000+1000
dcterms.subject,Export Control (Animals) Rules 2021
dcterms.language,dcterms.RFC4646; en-AU
dcterms.type,document
AGLSTERMS.category,document
AGLSTERMS.documentType,text
